Pointages AviMéca
t;x;y
(s);(m);(m)
0,000;0,00E+0;4,92E-1
0,040;8,61E-2;6,03E-1
0,080;1,65E-1;7,00E-1
0,120;2,40E-1;7,75E-1
0,160;3,15E-1;8,35E-1
0,200;3,93E-1;8,76E-1
0,240;4,64E-1;9,03E-1
0,280;5,32E-1;9,10E-1
0,320;6,05E-1;9,03E-1
0,360;6,76E-1;8,80E-1
0,400;7,45E-1;8,46E-1
0,440;8,13E-1;7,92E-1
0,480;8,75E-1;7,25E-1
0,520;9,34E-1;6,42E-1
0,560;9,94E-1;5,54E-1
0,600;1,05E+0;4,48E-1
0,640;1,11E+0;3,28E-1
0,680;1,16E+0;2,00E-1
