Pointages AviMéca
t;x;y
(s);(m);(m)
0;0;0,56
0,04;0,064;0,664
0,08;0,128;0,753
0,12;0,192;0,826
0,16;0,256;0,884
0,2;0,32;0,925
0,24;0,384;0,951
0,28;0,448;0,961
0,32;0,511;0,956
0,36;0,575;0,935
0,4;0,639;0,898
0,44;0,703;0,845
0,48;0,767;0,777
0,52;0,831;0,693
0,56;0,895;0,594
0,6;0,959;0,478
0,64;1,023;0,347
0,68;1,087;0,201
